date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Feb 8, 2020",SCY,AZ,Southern Arizona Masters Relay SCY Swim Meet,20200208RelayY,https://www.usms.org/comp/meets/meet.php?MeetID=20200208RelayY,e1100b30-21cd-4afc-b968-2a65364a2e8a
"Feb 8, 2020",SCY,FG,2020 Love of Distance,20200208LVDISTY,https://www.usms.org/comp/meets/meet.php?MeetID=20200208LVDISTY,6d0cfd89-14a9-41e5-9917-055cda3929c2
"Feb 7-9, 2020",SCY,SC,2020 SC SCY State Championship,20200207SCYMYBY,https://www.usms.org/comp/meets/meet.php?MeetID=20200207SCYMYBY,0a8c15e7-9119-4942-91d0-ad62c111185d
"Feb 7-8, 2020",SCY,AR,2020 Valentine Invitational,20200208VI2020Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200208VI2020Y,c0d215b8-c93c-4359-abe7-9c9299739c48
"Feb 2, 2020",SCY,IL,2020 STCE Doug Long Memorial Super Bowl Masters Swim Meet,20200202DLSB20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200202DLSB20Y,6b052075-2a26-4968-b3cf-49fdc8e959db
"Feb 2, 2020",SCY,DV,3rd Annual Stephanie Walsh-Beilman Memorial SC Masters Meet,20200202UMLYS2Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200202UMLYS2Y,7226c5c3-53b0-434c-870e-f9e157b6283c
"Feb 2, 2020",SCM,PN,2020 TACM SCM Masters Meet,20200202TACMS,https://www.usms.org/comp/meets/meet.php?MeetID=20200202TACMS,c5e0efae-7e3b-4e47-b007-6b036c7d1dff
"Feb 2, 2020",SCY,MI,33rd Annual “Super” Swim Meet,20200202fast20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200202fast20Y,8fd27881-dfa9-4e6f-bc78-b0deabc76038
"Feb 2, 2020",SCY,NE,2020 Phillips Exeter Mini Meet,20200202EXETERY,https://www.usms.org/comp/meets/meet.php?MeetID=20200202EXETERY,c673fd74-46c9-4330-b413-eb9f86808536
"Feb 2, 2020",SCY,CT,35th Annual Groundhog Meet,20200202GRHG35Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200202GRHG35Y,044db37e-fd4b-4d65-a025-5c20b2c12edf
"Feb 2, 2020",LCM,PN,Victoria Masters Annual Swim Meet 2020,20200202VICTORL,https://www.usms.org/comp/meets/meet.php?MeetID=20200202VICTORL,758ee1a7-13aa-4dce-8e6b-db7b20088159
"Feb 1-2, 2020",SCY,SE,2020 Auburn Masters SCY Invitational,20200201AU2020Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200201AU2020Y,a9627e6e-d4bb-4b1f-846c-308acf50335a
"Feb 1, 2020",SCY,AK,2020 Sweetheart Invite,20200201dual20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20200201dual20Y,9f7b4a17-e50a-4c17-bd97-0eec8db386b6
"Feb 1, 2020",SCY,UT,Ski-n-Swim 2020,20200201QUACY,https://www.usms.org/comp/meets/meet.php?MeetID=20200201QUACY,68cfb9b5-b53a-48d7-bfcc-f7df14139672
"Feb 1, 2020",SCY,VA,2020 VMST David Gregg III Memorial Meet,20200201DGreggY,https://www.usms.org/comp/meets/meet.php?MeetID=20200201DGreggY,acf78c88-c420-4634-a980-4a96f06a060a
"Feb 1, 2020",SCY,FL,Gulf Coast Games for Life (Senior Games),20200201GULFSRY,https://www.usms.org/comp/meets/meet.php?MeetID=20200201GULFSRY,31358bf8-d8f6-4578-9870-dccd2c9b1487
